,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SOURCEBUS.1,15.082591221596308,15.082591222426698,15.082591222460895,15.082591222462137,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218,15.08259122246218
SOURCEBUS.2,-0.00013898159347321295,-0.00013898054693860354,-0.00013898051396622684,-0.00013898051289473854,-0.00013898051285976412,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043,-0.0001389805128587043
SOURCEBUS.3,-15.082452240003095,-15.082452241880024,-15.082452241947188,-15.082452241949497,-15.082452241949575,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582,-15.082452241949582
800.1,6.284813940944472,6.284813941959946,6.284813941998366,6.284813941999718,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765,6.284813941999765
800.2,-3.142492369206963,-3.142492368957939,-3.142492368952451,-3.142492368952313,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231,-3.14249236895231
800.3,-3.1423326061999233,-3.142332607258517,-3.1423326072940285,-3.1423326072952182,-3.1423326072952573,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258,-3.142332607295258
802.1,6.269588597924404,6.269588804257727,6.269588812289035,6.269588812574517,6.269588812584277,6.269588812584605,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616,6.269588812584616
802.2,-3.144257355534343,-3.1442574294969594,-3.144257431389039,-3.1442574314416714,-3.144257431443233,-3.144257431443281,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282,-3.144257431443282
802.3,-3.1328132982264436,-3.1328133398619995,-3.1328133410053636,-3.1328133410398946,-3.132813341040983,-3.1328133410410173,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186,-3.1328133410410186
806.1,6.25933087071881,6.259331214731134,6.259331228122217,6.259331228598226,6.259331228614498,6.259331228615043,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062,6.259331228615062
806.2,-3.1455483551412016,-3.145548478832947,-3.1455484819964923,-3.145548482084479,-3.145548482087091,-3.145548482087173,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744,-3.1455484820871744
806.3,-3.1265971706772775,-3.1265972394913852,-3.1265972413766088,-3.126597241433463,-3.126597241435254,-3.1265972414353116,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313,-3.126597241435313
808.1,6.066718630519417,6.0667215396126135,6.066721652861613,6.066721656887372,6.066721657024975,6.066721657029589,6.066721657029743,6.066721657029747,6.066721657029747,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748,6.066721657029748
808.2,-3.1707259897917983,-3.17072703887198,-3.170727065692845,-3.170727066438577,-3.170727066460727,-3.170727066461416,-3.170727066461438,-3.1707270664614393,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384,-3.1707270664614384
808.3,-3.014203551884934,-3.014204126119252,-3.014204141794769,-3.0142041422664363,-3.014204142281294,-3.0142041422817716,-3.014204142281788,-3.0142041422817885,-3.01420414228179,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789,-3.014204142281789
810.2,-3.1703184846360877,-3.1703195337019023,-3.1703195605224512,-3.1703195612681765,-3.170319561290326,-3.1703195612910156,-3.170319561291037,-3.170319561291038,-3.1703195612910373,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038,-3.170319561291038
812.1,5.841595534734377,5.841601424345995,5.841601653667643,5.841601661820171,5.841601662098838,5.841601662108185,5.841601662108495,5.841601662108502,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504,5.841601662108504
